camp_id,Governorate,Community
camp_5015,Idleb,Bhora
camp_5016,Aleppo,Abin Samaan
camp_5017,Idleb,Bayt Sulum
camp_5018,Idleb,Boayba
camp_5019,Aleppo,Mudallala Afrin - Eastern Kotanly
camp_5020,Aleppo,Ar-Ra'ee
camp_5021,Idleb,Zardana Mashehad
camp_5022,Aleppo,Shadiah
camp_5023,Aleppo,Deir Siwan
camp_5024,Idleb,Martein
camp_5025,Hama,Al-Hamidiah
camp_5026,Aleppo,Dabeq
camp_5027,Aleppo,Jandairis
camp_5028,Idleb,Harim
camp_5029,Idleb,Qourqeena
camp_5030,Hama,Qastun
camp_5031,Aleppo,Marata
camp_5032,Aleppo,Eyoun
camp_5033,Aleppo,Akhtrein
camp_5034,Aleppo,Baruz
camp_5035,Idleb,Matleh Ariha
camp_5036,Idleb,Habat
camp_5037,Aleppo,Ghandorah
camp_5038,Aleppo,Batbu
camp_5039,Idleb,Meraf Elshalaf
camp_5040,Aleppo,Big Majra
camp_5041,Idleb,Kafr tanor
camp_5042,Idleb,Shekh Bahr
camp_5043,Idleb,Khreibat
camp_5044,Idleb,Arshani
camp_5045,Aleppo,Azaz
camp_5046,Idleb,Badama
camp_5047,Aleppo,Bleikha
camp_5048,Aleppo,Shawa
camp_5049,Aleppo,Suran
camp_5050,Aleppo,Big Sukariyeh
camp_5051,Aleppo,Arshaf
camp_5052,Idleb,Motaram
camp_5053,Idleb,Kafr Jales
camp_5054,Idleb,Falyun
camp_5055,Aleppo,Himar Labda
camp_5056,Aleppo,Khofiyet Abu Qalqal
camp_5057,Aleppo,Southern Tal Arish
camp_5058,Aleppo,Jeb Hassan Agha
camp_5059,Aleppo,Safriyeh
camp_5060,Aleppo,Hurik
camp_5061,Al-Hasakeh,Al- Hai Al-Gharbi
camp_5062,Al-Hasakeh,Tanuriyeh
camp_5063,Al-Hasakeh,Tal Sheer Quamishli
camp_5064,Al-Hasakeh,Hay Hilaliyah
camp_5065,Al-Hasakeh,Balij
camp_5066,Al-Hasakeh,Tal Habash
camp_5067,Al-Hasakeh,Markab
camp_5068,Al-Hasakeh,Sardaq
camp_5069,Al-Hasakeh,Abu Obaida
camp_5070,Al-Hasakeh,Raghdan
camp_5071,Al-Hasakeh,Beit Hannun
camp_5072,Al-Hasakeh,Lower Rmeilan
camp_5073,Al-Hasakeh,Tubiyeh
camp_5074,Al-Hasakeh,Yusefiyeh
camp_5075,Al-Hasakeh,Hamam
camp_5076,Al-Hasakeh,Al-Kahef Al-Aswad
camp_5077,Al-Hasakeh,First Tal Elo
camp_5078,Al-Hasakeh,Second Tal Elo
camp_5079,Al-Hasakeh,Lower Um Kheif
camp_5080,Ar-Raqqa,Khatuniya Eljerniyah
camp_5081,Ar-Raqqa,Hurriyeh
camp_5082,Ar-Raqqa,Khunayz area
camp_5083,Ar-Raqqa,Ghota
camp_5084,Ar-Raqqa,Ein Issa
camp_5085,Ar-Raqqa,Karama
camp_5086,Ar-Raqqa,Nuzha
camp_5087,Ar-Raqqa,Alrawda
camp_5088,Ar-Raqqa,Assadiya
camp_5089,Ar-Raqqa,Kasrat Affan
camp_5090,Ar-Raqqa,Fteih
camp_5091,Ar-Raqqa,Shajar Qwayr
camp_5092,Ar-Raqqa,Baydar - Fatsa Birm
camp_5093,Ar-Raqqa,Ramleh
camp_5094,Ar-Raqqa,Mahmudli
camp_5095,Ar-Raqqa,Al Ulieh
camp_5096,Ar-Raqqa,Abbad
camp_5097,Ar-Raqqa,Karawan
camp_5098,Ar-Raqqa,Hadaj
camp_5099,Ar-Raqqa,Bir Shallal
camp_5100,Al-Hasakeh,Bajdali
camp_5101,Aleppo,Walia - Akirdali
camp_5102,Aleppo,Jeifiyet Elmashi
camp_5103,Aleppo,Jeb Eltawil
camp_5104,Aleppo,Jdidet Faras
camp_5105,Aleppo,Jeb Nahid
camp_5106,Aleppo,Kherbet Elrus
camp_5107,Aleppo,Little Fors
camp_5108,Aleppo,Abu Qalqal
camp_5109,Aleppo,Big Sandaliyeh
camp_5110,Aleppo,Kherbet Elsawda Manbaj
camp_5111,Al-Hasakeh,Hamidiyah
camp_5112,Aleppo,Kherbet Elashra
camp_5113,Aleppo,Nmuqbilet Hassan Agha
camp_5114,Aleppo,Qanaqebli
camp_5115,Aleppo,Noaimeh
camp_5116,Aleppo,Jeb Hamza
camp_5117,Aleppo,Big Ghorra
camp_5118,Aleppo,Big Fors
camp_5119,Aleppo,Um Jern Manbaj
camp_5120,Aleppo,Jeb Elbashama
camp_5121,Aleppo,Kherbet Bashar
camp_5122,Aleppo,Hizeh
camp_5123,Aleppo,Shjif Dahabiyeh
camp_5124,Aleppo,Ghassaniyeh - Qorret Halanj
camp_5125,Aleppo,Ayoubiyeh - Karoz
camp_5126,Aleppo,Sharan
camp_5127,Aleppo,Jalabiyeh
camp_5128,Aleppo,Upper Fajer
camp_5129,Aleppo,Qantarra - Qantaret Kikan
camp_5130,Aleppo,Jil Jilak
camp_5131,Aleppo,Shoruq - Holaqi
camp_5132,Aleppo,Upper Mawa - Upper Khanik
camp_5133,Aleppo,Firazdaq - Arsalan Tash
camp_5134,Aleppo,Bir Omar
camp_5135,Aleppo,Jumharran
camp_5136,Aleppo,Nabaa - Korbinar
camp_5137,Aleppo,Tal Hajib
camp_5138,Aleppo,Girmoz
camp_5139,Aleppo,Qerat Mazraa
camp_5140,Aleppo,Jeb Elkajli
camp_5141,Aleppo,Sakawiyeh
camp_5142,Aleppo,Big Kamit - Big Kojeh Kamit
camp_5143,Aleppo,Darfatli
camp_5144,Aleppo,Munif
camp_5145,Aleppo,Raqas Tahtani
camp_5146,Aleppo,Ibrahimiya - Upper Koktaba
camp_5147,Aleppo,Tal Elakhdar - Lower Koktaba
camp_5148,Aleppo,Safwaniyeh
camp_5149,Aleppo,Kharkhari
camp_5150,Al-Hasakeh,Tal Maaruf
camp_5151,Aleppo,Raqas al Fawqani
camp_5152,Aleppo,Mattin
camp_5153,Al-Hasakeh,Al Msaref
camp_5154,Aleppo,Bir Hsu - Kherbet Kalye
camp_5155,Aleppo,Bir Amaa
camp_5156,Aleppo,Ain Al Arab
camp_5157,Aleppo,Baroudiyeh
camp_5158,Aleppo,Bir Bakkar
camp_5159,Aleppo,Tutanik
camp_5160,Aleppo,Barakeh - Dweirek
camp_5161,Aleppo,Upper Tal Hajar
camp_5162,Aleppo,Lower Tal Elhajar - Tashluk
camp_5163,Aleppo,Lower Tarmak - Lower Tarmak Sheikhan
camp_5164,Aleppo,Kajar Tahtani
camp_5165,Aleppo,Tahtik Tahtani
camp_5166,Aleppo,Sheikh Ghali
camp_5167,Aleppo,Karb Karbalak
camp_5168,Aleppo,Bir Geni
camp_5169,Aleppo,Hamdun
camp_5170,Aleppo,Saq
camp_5171,Aleppo,Kayfun
camp_5172,Aleppo,Khodan
camp_5173,Aleppo,Kharab Elasheq - Kharab Ishq
camp_5174,Aleppo,Mil
camp_5175,Aleppo,Khan Mamid - Khan Mohammed
camp_5176,Al-Hasakeh,tall al Khider
camp_5177,Al-Hasakeh,Mahd Elrijleh
camp_5178,Al-Hasakeh,Al Dhiyabah
camp_5179,Al-Hasakeh,Zaydiyeh Hasskeh
camp_5180,Al-Hasakeh,Sulaymaniya
camp_5181,Al-Hasakeh,Al Rusafa (ne)
camp_5182,Al-Hasakeh,Al Villat (ne)
camp_5183,Al-Hasakeh,Um Elmaez
camp_5184,Al-Hasakeh,Abu Rasin Haskeh
camp_5185,Al-Hasakeh,Khirbat Ghazalah
camp_5186,Al-Hasakeh,Tal Hajar (ne)
camp_5187,Al-Hasakeh,Qosour - Al-Hasakeh (ne)
camp_5188,Al-Hasakeh,Al-Ashrah
camp_5189,Deir-ez-Zor,Kasra
camp_5190,Al-Hasakeh,Western Qamar
camp_5191,Al-Hasakeh,Industrial (ne)
camp_5192,Al-Hasakeh,Eastern Hamra
camp_5193,Al-Hasakeh,Salaliyeh
camp_5194,Deir-ez-Zor,Sur
camp_5195,Al-Hasakeh,Al Khabour (ne)
camp_5196,Al-Hasakeh,Tal Tawel
camp_5197,Al-Hasakeh,Tweineh
camp_5198,Al-Hasakeh,Mafraq Siddiq
camp_5199,Al-Hasakeh,Msheirfeh (ne)
camp_5200,Al-Hasakeh,Al Madina Al Riyadia (ne)
camp_5201,Al-Hasakeh,Buwaydah
camp_5202,Al-Hasakeh,Salhiyeh - Al-Hasakeh (ne)
camp_5203,Al-Hasakeh,Al Wasati (ne)
camp_5204,Al-Hasakeh,Tall Sakhr
camp_5205,Al-Hasakeh,Um Elshok
camp_5206,Al-Hasakeh,Al Msaken (ne)
camp_5207,Al-Hasakeh,Sfira Amuda
camp_5208,Al-Hasakeh,Qana
camp_5209,Al-Hasakeh,Tal Khalif
camp_5210,Al-Hasakeh,Al Basna
camp_5211,Al-Hasakeh,Abu Kabrah
camp_5212,Al-Hasakeh,Areesheh
camp_5213,Al-Hasakeh,Eastern Burj
camp_5214,Al-Hasakeh,Hamadaniyeh
camp_5215,Al-Hasakeh,Khariji
camp_5216,Al-Hasakeh,Al Zouhour (ne)
camp_5217,Al-Hasakeh,Safya
camp_5218,Al-Hasakeh,Hanan Bab Al Khawr
camp_5219,Al-Hasakeh,Western Sabe Skur
camp_5220,Al-Hasakeh,Al Thawra (ne)
camp_5221,Al-Hasakeh,Um Qasir Almjarjaa
camp_5222,Al-Hasakeh,Kherbet Elias
camp_5223,Al-Hasakeh,Al Takadom (ne)
camp_5224,Al-Hasakeh,Manajid
camp_5225,Al-Hasakeh,Hole
camp_5226,Al-Hasakeh,Umm al Quasir
camp_5227,Al-Hasakeh,Western Rashidiyeh
camp_5228,Al-Hasakeh,Al Mufti (ne)
camp_5229,Al-Hasakeh,Ahmad Salam
camp_5230,Al-Hasakeh,Um Elmilh
camp_5231,Al-Hasakeh,Gharb
camp_5232,Al-Hasakeh,Al Lailia (ne)
camp_5233,Al-Hasakeh,Al Mushirfah
camp_5234,Al-Hasakeh,Asi
camp_5235,Al-Hasakeh,Al Dawudiyah
camp_5236,Al-Hasakeh,Um Eldibis Elhiskeh
camp_5237,Al-Hasakeh,Majlub
camp_5238,Al-Hasakeh,Salah al Hawash
camp_5239,Al-Hasakeh,Al Askari (ne)
camp_5240,Al-Hasakeh,Tal Ahmar
camp_5241,Al-Hasakeh,Tal Ahmar
camp_5242,Al-Hasakeh,Khirbet el B'ir
camp_5243,Al-Hasakeh,Tal Abu Amshah
camp_5244,Al-Hasakeh,Tawk Al-Milh
camp_5245,Al-Hasakeh,Um Madfaa
camp_5246,Al-Hasakeh,Zein Elmabraj
camp_5247,Al-Hasakeh,Tall Kabah
camp_5248,Al-Hasakeh,Rujm Sirran
camp_5249,Al-Hasakeh,16 Tashreen (ne)
camp_5250,Al-Hasakeh,Rafraf
camp_5251,Al-Hasakeh,Forty Seven
camp_5252,Al-Hasakeh,Fakka
camp_5253,Al-Hasakeh,Al-Salhieh
camp_5254,Al-Hasakeh,Alhamraa
camp_5255,Al-Hasakeh,Hejiyeh
camp_5256,Al-Hasakeh,Al-Khamayl
camp_5257,Al-Hasakeh,Tal Majdal
camp_5258,Al-Hasakeh,Eastern Rashidiyeh
camp_5259,Ar-Raqqa,Ayuj
camp_5260,Aleppo,Qaderiyeh
camp_5261,Al-Hasakeh,Al-Hajla
camp_5262,Al-Hasakeh,Adla
camp_5263,Al-Hasakeh,Ramlan Sharqi
camp_5264,Al-Hasakeh,Karaja
camp_5265,Ar-Raqqa,Esmailieh - Fatsa Abdelesmail
camp_5266,Al-Hasakeh,Al wardiyah
camp_5267,Deir-ez-Zor,Eastern Gharibeh
camp_5268,Al-Hasakeh,Sleiman Sari
camp_5269,Al-Hasakeh,Abu Hjera Khawatneh
camp_5270,Al-Hasakeh,Hay Antreyeh
camp_5271,Al-Hasakeh,Hatemiyeh
camp_5272,Al-Hasakeh,Amuda
camp_5273,Al-Hasakeh,Hay Kournish
camp_5274,Al-Hasakeh,Hay Qanat Alsouys
camp_5275,Al-Hasakeh,Hai Al-Bashiriyah
camp_5276,Al-Hasakeh,Hay Qudourbak
camp_5277,Al-Hasakeh,Mayslon
camp_5278,Al-Hasakeh,Khweitleh Eljawaleh
camp_5279,Al-Hasakeh,Halku
camp_5280,Al-Hasakeh,Qahtaniyyeh
camp_5281,Al-Hasakeh,Tal Hmis
camp_5282,Al-Hasakeh,Western Jermez
camp_5283,Al-Hasakeh,Al Faras
camp_5284,Al-Hasakeh,Maabada
camp_5285,Al-Hasakeh,Hay Al Mahata
camp_5286,Al-Hasakeh,Hai Al-Shuriyah
camp_5287,Al-Hasakeh,Nekel Al Baree
camp_5288,Al-Hasakeh,Hai Al-Qusoor
camp_5289,Al-Hasakeh,Um Elfursan
camp_5290,Al-Hasakeh,Himo
camp_5291,Al-Hasakeh,Um El Azaam
camp_5292,Al-Hasakeh,Al-Malikeyyeh
camp_5293,Al-Hasakeh,Al Muzafeen
camp_5294,Al-Hasakeh,Allayah
camp_5295,Al-Hasakeh,Naqara
camp_5296,Deir-ez-Zor,Jiah
camp_5297,Deir-ez-Zor,Hawayej Thyab Jazira
camp_5298,Al-Hasakeh,Al Khaleege
camp_5299,Al-Hasakeh,Naama
camp_5300,Deir-ez-Zor,Mehbash
camp_5301,Deir-ez-Zor,Elhisan
camp_5302,Deir-ez-Zor,Ali
camp_5303,Deir-ez-Zor,Jazaret Elbuhmeid
camp_5304,Deir-ez-Zor,Tayyana
camp_5305,Deir-ez-Zor,Tuwamiyeh
camp_5306,Deir-ez-Zor,Al Bagouz
camp_5307,Al-Hasakeh,Ghassan
camp_5308,Al-Hasakeh,Sadiyeh
camp_5309,Al-Hasakeh,Al Seahee
camp_5310,Al-Hasakeh,Kdeimiyat
camp_5311,Al-Hasakeh,Um Rabee
camp_5312,Al-Hasakeh,Gundor
camp_5313,Al-Hasakeh,Mashad
camp_5314,Ar-Raqqa,Upper Khneiz
camp_5315,Al-Hasakeh,Tal Khanzir
camp_5316,Al-Hasakeh,Lower Tal Arus
camp_5317,Al-Hasakeh,Hylanah
camp_5318,Al-Hasakeh,Western Raya
camp_5319,Ar-Raqqa,Faraa
camp_5320,Ar-Raqqa,Jalaa
camp_5321,Ar-Raqqa,Yaarub
camp_5322,Ar-Raqqa,Hala - Khas Hbal
camp_5323,Ar-Raqqa,Kdeiran
camp_5324,Ar-Raqqa,Hisheh Elshebl
camp_5325,Ar-Raqqa,Mashrafa
camp_5326,Ar-Raqqa,Hettin
camp_5327,Al-Hasakeh,Manathra
camp_5328,Ar-Raqqa,Western Sahlabiyeh
camp_5329,Ar-Raqqa,Kherbet Hadla
camp_5330,Ar-Raqqa,Htash
camp_5331,Ar-Raqqa,Raeqqet Samra
camp_5332,Al-Hasakeh,Hilweh
camp_5333,Ar-Raqqa,Abu Kbee - West
camp_5334,Al-Hasakeh,Kherbet Elthibeh Qahtaiyeh
camp_5335,Al-Hasakeh,Tawil
camp_5336,Ar-Raqqa,Kherbet Mohamad
camp_5337,Al-Hasakeh,Tal Srat
camp_5338,Al-Hasakeh,Mzkeft
camp_5339,Al-Hasakeh,Shil
camp_5340,Ar-Raqqa,Ratla
camp_5341,Al-Hasakeh,Tal Sheer Qahtaniyeh
camp_5342,Al-Hasakeh,Ya'robiyah
camp_5343,Al-Hasakeh,Jawadiyah
camp_5344,Ar-Raqqa,Rabee'a
camp_5345,Al-Hasakeh,Khan Eljabal
camp_5346,Ar-Raqqa,Andalus
camp_5347,Al-Hasakeh,Mustafawiyeh
camp_5348,Deir-ez-Zor,Shiheil
camp_5349,Ar-Raqqa,Al-Sharah
camp_5350,Al-Hasakeh,Tal Elfukhar
camp_5351,Ar-Raqqa,Abu Quera
camp_5352,Ar-Raqqa,Ojeil
camp_5353,Ar-Raqqa,al Hajjaj
camp_5354,Ar-Raqqa,Al Rashed
camp_5355,Ar-Raqqa,Khneiz
camp_5356,Ar-Raqqa,Maghar
camp_5357,Al-Hasakeh,Tal Mashan
camp_5358,Deir-ez-Zor,Sawa
camp_5359,Al-Hasakeh,Mudiratah
camp_5360,Ar-Raqqa,Big Sweidiyeh
camp_5361,Ar-Raqqa,Big Ayed
camp_5362,Al-Hasakeh,Tlin
camp_5363,Al-Hasakeh,Hamra
camp_5364,Ar-Raqqa,alHora
camp_5365,Ar-Raqqa,Al Barouda
camp_5366,Ar-Raqqa,Abu Rajab
camp_5367,Al-Hasakeh,Tal Elsedeq
camp_5368,Ar-Raqqa,Big Samra
camp_5369,Ar-Raqqa,Little Sweidiyeh
camp_5370,Al-Hasakeh,Sehiyeh
camp_5371,Ar-Raqqa,Shahid Ellah
camp_5372,Ar-Raqqa,Abu Jub
camp_5373,Deir-ez-Zor,Sosa
camp_5374,Deir-ez-Zor,Gharanij
camp_5375,Al-Hasakeh,Bab Elhadid
camp_5376,Ar-Raqqa,Ojet Btir
camp_5377,Deir-ez-Zor,Abu Hasan
camp_5378,Ar-Raqqa,Jdidet Kahit
camp_5379,Deir-ez-Zor,Darnaj
camp_5380,Ar-Raqqa,Bir Haj Khalif
camp_5381,Al-Hasakeh,Shabak
camp_5382,Ar-Raqqa,Al Hafayer
camp_5383,Ar-Raqqa,Al Sheikh Hasan
camp_5384,Ar-Raqqa,Adnaniyeh
camp_5385,Al-Hasakeh,Mansura
camp_5386,Ar-Raqqa,Rajm Elhamam
camp_5387,Ar-Raqqa,Jib Alabiad
camp_5388,Al-Hasakeh,Arbawiyah
camp_5389,Ar-Raqqa,Jub Shaeer
camp_5390,Ar-Raqqa,Hamret Jamasey
camp_5391,Deir-ez-Zor,Hajin
camp_5392,Ar-Raqqa,Khass Dakur
camp_5393,Ar-Raqqa,Masarra
camp_5394,Ar-Raqqa,Rohayat
camp_5395,Ar-Raqqa,Akeirshi
camp_5396,Al-Hasakeh,Big Masud
camp_5397,Ar-Raqqa,Shanina
camp_5398,Al-Hasakeh,Jneidiyeh
camp_5399,Al-Hasakeh,Krefati
camp_5400,Ar-Raqqa,Abu Suseh
camp_5401,Al-Hasakeh,Mas'adat Al-Yarobeyeh
camp_5402,Deir-ez-Zor,Jdidet Bikara
camp_5403,Al-Hasakeh,Tal Dweim
camp_5404,Al-Hasakeh,tall Na'ur
camp_5405,Ar-Raqqa,Bghilan
camp_5406,Ar-Raqqa,Mathloum
camp_5407,Deir-ez-Zor,Nufal
camp_5408,Ar-Raqqa,Laqta
camp_5409,Deir-ez-Zor,Rabida
camp_5410,Deir-ez-Zor,Jazaret Milaj
camp_5411,Deir-ez-Zor,Jneineh
camp_5412,Deir-ez-Zor,Shaqra
camp_5413,Deir-ez-Zor,Sabah Al-Khayr
camp_5414,Deir-ez-Zor,Shate
camp_5415,Deir-ez-Zor,Harmushiyeh
camp_5416,Deir-ez-Zor,Hawayej Bumasaa
camp_5417,Ar-Raqqa,Atshana
camp_5418,Deir-ez-Zor,Maisheh
camp_5419,Deir-ez-Zor,Mhemideh
camp_5420,Ar-Raqqa,Qadessiyeh Kajla
camp_5421,Deir-ez-Zor,Lower Safira
camp_5422,Deir-ez-Zor,Jdid Ekeidat
camp_5423,Ar-Raqqa,Abasiya
camp_5424,Deir-ez-Zor,Eastern Jarda
camp_5425,Deir-ez-Zor,Abul Nitel
camp_5426,Deir-ez-Zor,Kassar
camp_5427,Deir-ez-Zor,Mashekh
camp_5428,Deir-ez-Zor,Namliyeh
camp_5429,Deir-ez-Zor,Hejneh
camp_5430,Deir-ez-Zor,Basira
camp_5431,Deir-ez-Zor,Hawayej
camp_5432,Deir-ez-Zor,Sokkar
camp_5433,Deir-ez-Zor,Ragib
camp_5434,Deir-ez-Zor,Tib Elfal
camp_5435,Deir-ez-Zor,Zir
camp_5436,Deir-ez-Zor,Barsham
camp_5437,Ar-Raqqa,Ayed Saghir
camp_5438,Deir-ez-Zor,Abu Hardoub
camp_5439,Deir-ez-Zor,Breiha
camp_5440,Ar-Raqqa,Saran
camp_5441,Deir-ez-Zor,Sabha
camp_5442,Deir-ez-Zor,Hreiji
camp_5443,Deir-ez-Zor,Hssein
camp_5444,Deir-ez-Zor,Mweileh
camp_5445,Deir-ez-Zor,Hreijiyeh
camp_5446,Deir-ez-Zor,Bseitine
camp_5447,Ar-Raqqa,Mustajid Naqib
camp_5448,Deir-ez-Zor,Rweished
camp_5449,Deir-ez-Zor,Western Gharibeh
camp_5450,Ar-Raqqa,Matab Elburashed
camp_5451,Deir-ez-Zor,Kuwaytar
camp_5452,Deir-ez-Zor,Abu Khashab
camp_5453,Deir-ez-Zor,Marashdeh
camp_5454,Deir-ez-Zor,Karama
camp_5455,Deir-ez-Zor,Zghir Jazireh
camp_5456,Deir-ez-Zor,Bardan Gharbi
camp_5457,Deir-ez-Zor,Kobar
camp_5458,Ar-Raqqa,Al rafqah
camp_5459,Deir-ez-Zor,Al Bou Badran
camp_5460,Deir-ez-Zor,Shafa
camp_5461,Deir-ez-Zor,Abu Hamam
camp_5462,Deir-ez-Zor,Kishkiyeh
camp_5463,Deir-ez-Zor,Bahra
camp_5464,Ar-Raqqa,Ejil
camp_5465,Deir-ez-Zor,Abu alkhatir
camp_5466,Deir-ez-Zor,Thiban
camp_5467,Deir-ez-Zor,Sweidan Jazira
camp_5468,Deir-ez-Zor,Shinan
camp_5469,Deir-ez-Zor,Hawi Thibyan
camp_5470,Ar-Raqqa,Tawi Rumman
camp_5471,Ar-Raqqa,Hamrat Buwaityeh
camp_5472,Deir-ez-Zor,Upper Baguz
camp_5473,Deir-ez-Zor,Kishmah
camp_5474,Ar-Raqqa,Hilo Abed
camp_5475,Ar-Raqqa,Kisret Elsheikh Jomaa
camp_5476,Ar-Raqqa,Kheniez Majadmi
camp_5477,Ar-Raqqa,Al-Thawrah
camp_5478,Ar-Raqqa,Sefsafa
camp_5479,Ar-Raqqa,Yarobiyeh - Khas Ejil
camp_5480,Ar-Raqqa,Al-Mueamara
camp_5481,Ar-Raqqa,Bader
camp_5482,Ar-Raqqa,Hamrat Ghannam
camp_5483,Ar-Raqqa,Al Aredah
camp_5484,Ar-Raqqa,Jarkah
camp_5485,Ar-Raqqa,Yarmuk
camp_5486,Ar-Raqqa,Modar
camp_5487,Ar-Raqqa,Abu Assi
camp_5488,Ar-Raqqa,Sanaker
camp_5489,Ar-Raqqa,Small Samra
camp_5490,Ar-Raqqa,Talet Elansar
camp_5491,Ar-Raqqa,Sukariyet Tal Elsamen
camp_5492,Ar-Raqqa,Turkeia
camp_5493,Ar-Raqqa,Al-Ghazli
camp_5494,Ar-Raqqa,Harqala
camp_5495,Ar-Raqqa,Abu Nituleh
camp_5496,Ar-Raqqa,Sahl Al-Khashab
camp_5497,Ar-Raqqa,Um Tleil
camp_5498,Ar-Raqqa,Nasra
camp_5499,Ar-Raqqa,Shweihan Trifawi
camp_5500,Ar-Raqqa,Moezleh
camp_5501,Ar-Raqqa,Atarah
camp_5502,Ar-Raqqa,Bir Al Hashem
camp_5503,Ar-Raqqa,Al Ghadban
camp_5504,Ar-Raqqa,Al-Ajil
camp_5505,Ar-Raqqa,Krein
camp_5506,Ar-Raqqa,Almushahada
camp_5507,Ar-Raqqa,Milsun
camp_5508,Ar-Raqqa,Marmah Darwish
camp_5509,Ar-Raqqa,Hadba
camp_5510,Ar-Raqqa,Bir Jarbu
camp_5511,Ar-Raqqa,Tweilah
camp_5512,Ar-Raqqa,Al Kumb
camp_5513,Ar-Raqqa,Tal Elsamen Dahham
camp_5514,Ar-Raqqa,Hamrat Balasim
camp_5515,Ar-Raqqa,Al Muntazha
camp_5516,Ar-Raqqa,Hisheh
camp_5517,Ar-Raqqa,Jdidet Khabur
camp_5518,Ar-Raqqa,Al Bari
camp_5519,Ar-Raqqa,Hwaijet Sawafi
camp_5520,Ar-Raqqa,Middle Kabsh
camp_5521,Ar-Raqqa,Sfin - Kisret Mohammed Agha
camp_5522,Ar-Raqqa,Mahmadeh
camp_5523,Ar-Raqqa,Abu Kbee - East
camp_5524,Ar-Raqqa,Masaada
camp_5525,Ar-Raqqa,Baladiya
camp_5526,Ar-Raqqa,Rashid
camp_5527,Ar-Raqqa,Nabeh
camp_5528,Ar-Raqqa,Eastern Khayala
camp_5529,Ar-Raqqa,Al-Maroudah
camp_5530,Ar-Raqqa,Hawi Elhawa
camp_5531,Ar-Raqqa,Abu Wahil
camp_5532,Ar-Raqqa,Fakhaikha
camp_5533,Ar-Raqqa,Widyan
camp_5534,Ar-Raqqa,Al-Moghirah
camp_5535,Ar-Raqqa,Mansura
camp_5536,Ar-Raqqa,Samera - Oweija Hamad Elassaf
camp_5537,Ar-Raqqa,Al Saleheh
camp_5538,Ar-Raqqa,Harmala
camp_5539,Ar-Raqqa,Hazimeh
camp_5540,Ar-Raqqa,Katuniyeh
camp_5541,Ar-Raqqa,Shaher
camp_5542,Ar-Raqqa,Jarwah
camp_5543,Ar-Raqqa,Leksun
camp_5544,Ar-Raqqa,Al Hamam
camp_5545,Ar-Raqqa,Al-khadr
camp_5546,Ar-Raqqa,Malali
camp_5547,Ar-Raqqa,Mweileh
camp_5548,Ar-Raqqa,Abdullah Hamidi Al Masoud
camp_5549,Ar-Raqqa,Al Hidi
camp_5550,Ar-Raqqa,Abbara
camp_5551,Ar-Raqqa,Al-Hama
camp_5552,Ar-Raqqa,Sahl
camp_5553,Ar-Raqqa,Khayala
camp_5554,Ar-Raqqa,Atshana
camp_5555,Ar-Raqqa,Mweileh
camp_5556,Aleppo,Jaadet Elsamawat
camp_5557,Ar-Raqqa,Bisrawi
camp_5558,Ar-Raqqa,Jurneyyeh
camp_5559,Ar-Raqqa,Eastern Jaabar
camp_5560,Ar-Raqqa,Akraba
camp_5561,Ar-Raqqa,Bir Snaa
camp_5562,Ar-Raqqa,Hweijet Faraj
camp_5563,Ar-Raqqa,Wihdeh
camp_5564,Ar-Raqqa,Ber-hmad
camp_5565,Ar-Raqqa,Dalha
camp_5566,Ar-Raqqa,Hora
camp_5567,Ar-Raqqa,Falah Rabu
camp_5568,Ar-Raqqa,Fatsa
camp_5569,Ar-Raqqa,Qadessiyeh
camp_5570,Ar-Raqqa,Western Jaabar
camp_5571,Ar-Raqqa,Qahtaniyyeh
camp_5572,Ar-Raqqa,Yamama
camp_5573,Ar-Raqqa,Thaheriya
camp_5574,Ar-Raqqa,Karmnjo
camp_5575,Ar-Raqqa,Kalta
camp_5576,Ar-Raqqa,Bir Zahir
camp_5577,Ar-Raqqa,Swaydan
camp_5578,Ar-Raqqa,Abu Kabret Al Rashid
camp_5579,Ar-Raqqa,Hunaida
camp_5580,Ar-Raqqa,Houran
camp_5581,Ar-Raqqa,Shwaihan
camp_5582,Aleppo,AL Ajami
camp_5583,Aleppo,Ash Sharqiyat
camp_5584,Aleppo,Al Bab
camp_5585,Aleppo,Khalilieyh
camp_5586,Aleppo,Um Adae Ajami
camp_5587,Aleppo,Hassani
camp_5588,Aleppo,Fiha as Segira
camp_5589,Aleppo,Ayyasha
camp_5590,Aleppo,Tal Battal
camp_5591,Aleppo,Zyaret Elbab
camp_5592,Aleppo,Eastern Tal Battal
camp_5593,Aleppo,Thlaija Gharbi
camp_5594,Aleppo,Sandi
camp_5595,Aleppo,Hleisa
camp_5596,Aleppo,Tal Eisheh
camp_5597,Aleppo,Tweiran
camp_5598,Aleppo,Waqf
camp_5599,Aleppo,Arifiyah
camp_5600,Aleppo,Tal Sheer Aazaz
camp_5601,Aleppo,Kaeebeh
camp_5602,Aleppo,Eastern Tal Aar
camp_5603,Aleppo,Khirbet Bashir
camp_5604,Aleppo,Tal Mizab
camp_5605,Aleppo,Bazji
camp_5606,Aleppo,Haji Kusa
camp_5607,Aleppo,Silsileh
camp_5608,Aleppo,Borj
camp_5609,Aleppo,Sheikh Jarrah
camp_5610,Aleppo,Western Tal Aar
camp_5611,Aleppo,Qantaret Elbab
camp_5612,Aleppo,Tal Sfir
