camp_id,Governorate,Community
camp_141,Al-Hasakeh,Al Wusta
camp_142,Al-Hasakeh,Khweitleh Eljawaleh
camp_143,Al-Hasakeh,Mayslon
camp_144,Al-Hasakeh,Hay Al Mahata
camp_145,Al-Hasakeh,Qahtaniyyeh
camp_146,Al-Hasakeh,Al Seahee
camp_147,Al-Hasakeh,Hai Al-Qusoor
camp_148,Al-Hasakeh,Al Khaleege
camp_149,Al-Hasakeh,Amuda
camp_150,Al-Hasakeh,Arbawiyah
camp_151,Al-Hasakeh,Ghassan
camp_152,Al-Hasakeh,Balij
camp_153,Al-Hasakeh,Markab
camp_154,Al-Hasakeh,Lower Tal Arus
camp_155,Al-Hasakeh,Tubiyeh
camp_156,Al-Hasakeh,Yusefiyeh
camp_157,Al-Hasakeh,Beit Hannun
camp_158,Al-Hasakeh,Hamidiyah
camp_159,Al-Hasakeh,Hamada
camp_160,Al-Hasakeh,Al Basna
camp_161,Al-Hasakeh,Al-Salhieh
camp_162,Al-Hasakeh,Alhamraa
camp_163,Al-Hasakeh,Elwet Eldisheisha
camp_164,Al-Hasakeh,Markada
camp_165,Al-Hasakeh,Rujum Hajar
camp_166,Al-Hasakeh,Khirbet el B'ir
camp_167,Al-Hasakeh,Abu Kabrah
camp_168,Al-Hasakeh,Qana
camp_169,Al-Hasakeh,Ahmad Salam
camp_170,Al-Hasakeh,Hamadaniyeh
camp_171,Al-Hasakeh,Tal Ahmar
camp_172,Al-Hasakeh,Areesheh
camp_173,Al-Hasakeh,Khariji
camp_174,Al-Hasakeh,Hanan Bab Al Khawr
camp_175,Al-Hasakeh,Al Dhiyabah
camp_176,Al-Hasakeh,Western Sabe Skur
camp_177,Al-Hasakeh,Al Dawudiyah
camp_178,Al-Hasakeh,Bab Elkheir
camp_179,Al-Hasakeh,Sulaymaniya
camp_180,Al-Hasakeh,Rafraf
camp_181,Al-Hasakeh,Msheirfet Elashmal
camp_182,Al-Hasakeh,Rujm Sirran
camp_183,Al-Hasakeh,Tall Kabah
camp_184,Al-Hasakeh,Al wardiyah
camp_185,Al-Hasakeh,Sultan al dahir
camp_186,Al-Hasakeh,Hejiyeh
camp_187,Al-Hasakeh,Eastern Burj
camp_188,Al-Hasakeh,Abu Hjera Khawatneh
camp_189,Al-Hasakeh,Tal Khanzir
camp_190,Al-Hasakeh,Tall abu Farah
camp_191,Al-Hasakeh,Kherbet Thyabiyeh
camp_192,Al-Hasakeh,Tal Habash
camp_193,Al-Hasakeh,Mashad
camp_194,Al-Hasakeh,Gundor
camp_195,Al-Hasakeh,Manathra
camp_196,Al-Hasakeh,Tal Sheer Qahtaniyeh
camp_197,Al-Hasakeh,Shil
camp_198,Al-Hasakeh,Tawil
camp_199,Al-Hasakeh,Sardaq
camp_200,Al-Hasakeh,Naama
camp_201,Al-Hasakeh,Hai Al-Shuriyah
camp_202,Al-Hasakeh,Hay Qudourbak
camp_203,Al-Hasakeh,Hatemiyeh
camp_204,Al-Hasakeh,Um El Azaam
camp_205,Al-Hasakeh,Mustafawiyeh
camp_206,Al-Hasakeh,Sehiyeh
camp_207,Al-Hasakeh,Mansura
camp_208,Al-Hasakeh,Shabak
camp_209,Al-Hasakeh,Hamra
camp_210,Al-Hasakeh,Bab Elhadid
camp_211,Al-Hasakeh,Jawadiyah
camp_212,Al-Hasakeh,Abu Obaida
camp_213,Al-Hasakeh,First Tal Elo
camp_214,Al-Hasakeh,Lower Um Kheif
camp_215,Al-Hasakeh,Second Tal Elo
camp_216,Al-Hasakeh,tall Na'ur
camp_217,Al-Hasakeh,Al-Kahef Al-Aswad
camp_218,Al-Hasakeh,Lower Rmeilan
camp_219,Al-Hasakeh,Hamam
camp_220,Al-Hasakeh,Raghdan
camp_221,Al-Hasakeh,Tal Elfukhar
camp_222,Al-Hasakeh,Tal Elomara
camp_223,Al-Hasakeh,Tal Elsedeq
camp_224,Ar-Raqqa,Bir Haj Khalif
camp_225,Ar-Raqqa,Khatuniya Eljerniyah
camp_226,Ar-Raqqa,Rajm Elhamam
camp_227,Ar-Raqqa,Ramleh
camp_228,Ar-Raqqa,Big Samra
camp_229,Ar-Raqqa,Falah Rabu
camp_230,Ar-Raqqa,Jdidet Khabur
camp_231,Ar-Raqqa,Qadessiyeh Kajla
camp_232,Ar-Raqqa,Khass Dakur
camp_233,Ar-Raqqa,Laqta
camp_234,Ar-Raqqa,Shali
camp_235,Ar-Raqqa,Kolah
camp_236,Ar-Raqqa,Mweileh
camp_237,Ar-Raqqa,Khaldiya
camp_238,Ar-Raqqa,Abu Nituleh
camp_239,Ar-Raqqa,Al Mastoura
camp_240,Ar-Raqqa,Fatsa
camp_241,Ar-Raqqa,Swaydan
camp_242,Ar-Raqqa,Nabeh
camp_243,Ar-Raqqa,Khirbat Fulayfil
camp_244,Ar-Raqqa,Atshana
camp_245,Ar-Raqqa,Houran
camp_246,Ar-Raqqa,Um at Tabat
camp_247,Ar-Raqqa,alHora
camp_248,Ar-Raqqa,Big Sweidiyeh
camp_249,Ar-Raqqa,Krein
camp_250,Ar-Raqqa,Eastern Jaabar
camp_251,Ar-Raqqa,Al Ghadban
camp_252,Ar-Raqqa,Big Ayed
camp_253,Ar-Raqqa,Ayed Saghir
camp_254,Ar-Raqqa,Little Sweidiyeh
camp_255,Ar-Raqqa,Hora
camp_256,Ar-Raqqa,Abu Rajab
camp_257,Ar-Raqqa,Abbad
camp_258,Ar-Raqqa,Abu Kbee - East
camp_259,Ar-Raqqa,Al Barouda
camp_260,Ar-Raqqa,Al Ulieh
camp_261,Ar-Raqqa,Sefsafa
camp_262,Ar-Raqqa,Abu Kbee - West
camp_263,Ar-Raqqa,Hunaida
camp_264,Ar-Raqqa,Al Hamam
camp_265,Ar-Raqqa,Bir Zahir
camp_266,Ar-Raqqa,Mahmudli
camp_267,Ar-Raqqa,Western Jaabar
camp_268,Ar-Raqqa,Mansura
camp_269,Ar-Raqqa,Abu Assi
camp_270,Ar-Raqqa,Al-Ajil
camp_271,Ar-Raqqa,Mweileh
camp_272,Ar-Raqqa,Bisrawi
camp_273,Ar-Raqqa,Hurriyeh
camp_274,Ar-Raqqa,Widyan
camp_275,Ar-Raqqa,Al Daliel
camp_276,Ar-Raqqa,Abu Jub
camp_277,Ar-Raqqa,Bir Shallal
camp_278,Ar-Raqqa,Hadaj
camp_279,Ar-Raqqa,Bir Snaa
camp_280,Ar-Raqqa,Karawan
camp_281,Ar-Raqqa,Al-Mueamara
camp_282,Ar-Raqqa,Jurneyyeh
camp_283,Ar-Raqqa,Shahid Ellah
camp_284,Ar-Raqqa,Abdullah Hamidi Al Masoud
camp_285,Ar-Raqqa,Sanaker
camp_286,Ar-Raqqa,Jib Alabiad
camp_287,Ar-Raqqa,Small Samra
camp_288,Ar-Raqqa,Sukariyet Tal Elsamen
camp_289,Ar-Raqqa,Modar
camp_290,Ar-Raqqa,Eastern Khayala
camp_291,Ar-Raqqa,Saran
camp_292,Ar-Raqqa,Jarkah
camp_293,Ar-Raqqa,Qahtaniyyeh
camp_294,Ar-Raqqa,Harqala
camp_295,Ar-Raqqa,Shaher
camp_296,Ar-Raqqa,Hala - Khas Hbal
camp_297,Ar-Raqqa,Ghota
camp_298,Ar-Raqqa,Kherbet Hadla
camp_299,Ar-Raqqa,Mustajid Naqib
camp_300,Ar-Raqqa,Hwaijet Sawafi
camp_301,Ar-Raqqa,Atarah
camp_302,Ar-Raqqa,Shanina
camp_303,Ar-Raqqa,Sahl Al-Khashab
camp_304,Ar-Raqqa,Talet Elansar
camp_305,Ar-Raqqa,Raeqqet Samra
camp_306,Ar-Raqqa,Jdidet Kahit
camp_307,Ar-Raqqa,Khayala
camp_308,Ar-Raqqa,Alrawda
camp_309,Ar-Raqqa,Andalus
camp_310,Ar-Raqqa,Kasrat Affan
camp_311,Ar-Raqqa,Ein Issa
camp_312,Ar-Raqqa,Tweilah
camp_313,Ar-Raqqa,Hazimeh
camp_314,Ar-Raqqa,Ojet Btir
camp_315,Ar-Raqqa,Hettin
camp_316,Ar-Raqqa,Baladiya
camp_317,Ar-Raqqa,Bader
camp_318,Ar-Raqqa,Yarobiyeh - Khas Ejil
camp_319,Ar-Raqqa,Kherbet Mohamad
camp_320,Ar-Raqqa,Hawi Elhawa
camp_321,Ar-Raqqa,Middle Kabsh
camp_322,Ar-Raqqa,Dalha
camp_323,Ar-Raqqa,Yaarub
camp_324,Ar-Raqqa,Nuzha
camp_325,Ar-Raqqa,Malali
camp_326,Ar-Raqqa,Al-Thawrah
camp_327,Ar-Raqqa,Nasra
camp_328,Ar-Raqqa,Al Abdallah
camp_329,Ar-Raqqa,Al-Ghazli
camp_330,Ar-Raqqa,Faraa
camp_331,Ar-Raqqa,Yarmuk
camp_332,Ar-Raqqa,Hisheh Elshebl
camp_333,Ar-Raqqa,Milsun
camp_334,Ar-Raqqa,Abu Kabret Al Rashid
camp_335,Ar-Raqqa,Tawi Rumman
camp_336,Ar-Raqqa,Marmah Darwish
camp_337,Ar-Raqqa,Al-Hama
camp_338,Ar-Raqqa,Kalta
camp_339,Ar-Raqqa,Htash
camp_340,Ar-Raqqa,Al Saleheh
camp_341,Ar-Raqqa,Shajar Qwayr
camp_342,Ar-Raqqa,Shathah
camp_343,Ar-Raqqa,Jub Shaeer
camp_344,Ar-Raqqa,Rabee'a
camp_345,Ar-Raqqa,Ratla
camp_346,Ar-Raqqa,Sahl
camp_347,Ar-Raqqa,Adnaniyeh
camp_348,Ar-Raqqa,Kisret Elsheikh Jomaa
camp_349,Ar-Raqqa,Al rafqah
camp_350,Ar-Raqqa,Jarwah
camp_351,Ar-Raqqa,Bir Jarbu
camp_352,Ar-Raqqa,Jalaa
camp_353,Ar-Raqqa,Western Sahlabiyeh
camp_354,Ar-Raqqa,Hamret Jamasey
camp_355,Ar-Raqqa,Al Kumb
camp_356,Ar-Raqqa,Wihdeh
camp_357,Ar-Raqqa,Hisheh
camp_358,Ar-Raqqa,Katuniyeh
camp_359,Ar-Raqqa,Al Muntazha
camp_360,Ar-Raqqa,Akeirshi
camp_361,Ar-Raqqa,Abasiya
camp_362,Ar-Raqqa,Assadiya
camp_363,Ar-Raqqa,Al-Maroudah
camp_364,Ar-Raqqa,Samera - Oweija Hamad Elassaf
camp_365,Ar-Raqqa,Bir Al Hashem
camp_366,Ar-Raqqa,Karama
camp_367,Ar-Raqqa,Atshana
camp_368,Ar-Raqqa,Ejil
camp_369,Ar-Raqqa,Alajeyah
camp_370,Ar-Raqqa,Abu Quera
camp_371,Ar-Raqqa,Drubiyeh
camp_372,Ar-Raqqa,Harmala
camp_373,Ar-Raqqa,Al Rashed
camp_374,Ar-Raqqa,Abu Suseh
camp_375,Ar-Raqqa,Hadba
camp_376,Ar-Raqqa,Almushahada
camp_377,Ar-Raqqa,Al-Sharah
camp_378,Ar-Raqqa,Mathloum
camp_379,Ar-Raqqa,Hamrat Ghannam
camp_380,Ar-Raqqa,Al-Moghirah
camp_381,Ar-Raqqa,Hamrat Buwaityeh
camp_382,Ar-Raqqa,Tal Elsamen Dahham
camp_383,Ar-Raqqa,Fakhaikha
camp_384,Ar-Raqqa,Al Kashish
camp_385,Ar-Raqqa,Al Sheikh Hasan
camp_386,Ar-Raqqa,Abbara
camp_387,Ar-Raqqa,Upper Khneiz
camp_388,Ar-Raqqa,Khneiz
camp_389,Ar-Raqqa,Masaada
camp_390,Ar-Raqqa,Mahmadeh
camp_391,Ar-Raqqa,Esmailieh - Fatsa Abdelesmail
camp_392,Ar-Raqqa,Baydar - Fatsa Birm
camp_393,Ar-Raqqa,Akraba
camp_394,Ar-Raqqa,al Hajjaj
camp_395,Ar-Raqqa,Matab Elburashed
camp_396,Ar-Raqqa,Hamrat Balasim
camp_397,Ar-Raqqa,Hweijet Faraj
camp_398,Ar-Raqqa,Sfin - Kisret Mohammed Agha
camp_399,Ar-Raqqa,Masarra
camp_400,Ar-Raqqa,Ojeil
camp_401,Ar-Raqqa,Leksun
camp_402,Deir-ez-Zor,Thiban
camp_403,Deir-ez-Zor,Sweidan Jazira
camp_404,Al-Hasakeh,Mas'adat Al-Yarobeyeh
camp_405,Al-Hasakeh,Rabeeah Tal Hmis
camp_406,Al-Hasakeh,Meshrahah
camp_407,Al-Hasakeh,Big Masud
camp_408,Deir-ez-Zor,Moezleh
camp_409,Al-Hasakeh,Sfira Amuda
camp_410,Deir-ez-Zor,Sabah Al-Khayr
camp_411,Ar-Raqqa,Ayuj
camp_412,Al-Hasakeh,Tal Dweim
camp_413,Aleppo,Baroudiyeh
camp_414,Al-Hasakeh,Duwadiyeh Haskeh
camp_415,Al-Hasakeh,Forty Seven
camp_416,Ar-Raqqa,Abu Wahil
camp_417,Deir-ez-Zor,Bir Shwehan
camp_418,Deir-ez-Zor,Qamer Al-Diyn
camp_419,Deir-ez-Zor,Sawa
camp_420,Deir-ez-Zor,Hajin
camp_421,Al-Hasakeh,Ya'robiyah
camp_422,Deir-ez-Zor,Bir Adman
camp_423,Deir-ez-Zor,Western Gharibeh
camp_424,Deir-ez-Zor,Bardan Gharbi
camp_425,Deir-ez-Zor,Rabida
camp_426,Deir-ez-Zor,Elhisan
camp_427,Deir-ez-Zor,Jasmi
camp_428,Deir-ez-Zor,Jerwan - Abu Elhbal
camp_429,Deir-ez-Zor,Kherbet Al-Zahmak
camp_430,Deir-ez-Zor,Mhemideh
camp_431,Ar-Raqqa,Shweihan Trifawi
camp_432,Deir-ez-Zor,Namliyeh
camp_433,Deir-ez-Zor,Nufal
camp_434,Deir-ez-Zor,Jazaret Milaj
camp_435,Deir-ez-Zor,Shaqra
camp_436,Deir-ez-Zor,Jneineh
